Date,Temperature,Humidity,Pressure,HeatIndex
2000-01-01,21.46,67.81,1039.74,20.59
2000-01-02,25.47,56.12,1014.65,19.76
2000-01-03,17.84,36.8,981.25,41.81
2000-01-04,20.72,76.46,1016.3,48.94
2000-01-05,16.25,51.58,980.38,42.11
2000-01-06,18.47,32.25,1006.08,39.62
2000-01-07,35.4,36.15,1008.73,47.19
2000-01-08,28.2,92.87,1042.57,43.37
2000-01-09,20.79,27.49,999.88,15.43
2000-01-10,33.36,99.74,984.63,24.65
2000-01-11,36.48,75.18,989.96,42.8
2000-01-12,17.12,24.25,998.75,42.17
2000-01-13,36.41,27.62,1016.16,46.02
2000-01-14,23.49,36.1,1048.05,29.55
2000-01-15,15.62,41.69,1047.73,49.69
2000-01-16,27.15,62.67,1029.55,39.7
2000-01-17,24.16,67.66,992.13,42.86
2000-01-18,21.55,98.54,1027.3,19.07
2000-01-19,38.98,88.35,1009.58,14.65
2000-01-20,22.42,34.68,1025.5,19.16
2000-01-21,28.73,70.18,1011.17,39.77
2000-01-22,20.64,56.28,1006.86,25.14
2000-01-23,11.09,32.43,1007.36,18.03
2000-01-24,35.78,96.63,1019.11,21.11
2000-01-25,13.96,25.81,1027.94,29.64
2000-01-26,13.42,86.52,1043.4,31.12
2000-01-27,38.53,43.95,1014.31,25.16
2000-01-28,31.79,59.6,986.24,18.25
2000-02-01,16.67,27.68,1025.2,33.55
2000-02-02,17.86,78.77,1022.4,44.65
2000-02-03,27.03,81.32,996.5,32.82
2000-02-04,16.37,78.91,1045.9,41.93
2000-02-05,17.55,71.77,1028.78,11.34
2000-02-06,26.22,99.38,1033.26,16.75
2000-02-07,22.4,58.16,1028.87,39.06
2000-02-08,25.38,40.94,988.86,29.02
2000-02-09,10.82,70.49,1035.2,47.76
2000-02-10,22.45,35.96,995.06,25.06
2000-02-11,22.71,31.31,997.26,44.33
2000-02-12,39.03,96.76,1041.31,26.42
2000-02-13,15.44,54.24,1034.84,20.99
2000-02-14,16.69,36.62,1003.99,27.7
2000-02-15,21.92,82.65,1047.51,35.98
2000-02-16,37.76,38.37,986.16,20.0
2000-02-17,14.69,32.44,1015.1,37.54
2000-02-18,14.91,72.98,987.14,38.36
2000-02-19,15.45,66.95,1046.64,19.62
2000-02-20,20.07,70.47,1010.38,17.08
2000-02-21,31.34,21.5,1028.31,17.08
2000-02-22,21.34,74.76,1019.37,11.32
2000-02-23,14.29,23.99,1044.7,36.36
2000-02-24,36.88,48.64,1002.93,39.78
2000-02-25,22.07,88.96,989.46,41.88
2000-02-26,34.94,45.28,1029.25,49.36
2000-02-27,11.56,92.47,1004.56,37.08
2000-02-28,29.68,47.1,1006.27,18.43
2000-03-01,10.82,31.39,1042.46,46.74
2000-03-02,27.63,35.46,994.15,39.67
2000-03-03,23.64,87.15,1041.37,31.5
2000-03-04,34.75,54.18,1029.51,44.32
2000-03-05,31.04,73.11,1018.66,10.54
2000-03-06,28.15,47.74,1010.76,43.53
2000-03-07,22.37,83.0,1032.68,44.37
2000-03-08,19.88,32.82,1038.32,36.95
2000-03-09,22.41,23.86,1027.83,27.03
2000-03-10,27.38,20.06,1019.52,31.57
2000-03-11,12.25,72.37,1017.44,27.13
2000-03-12,35.43,72.3,1004.39,27.75
2000-03-13,21.17,91.26,1010.05,46.81
2000-03-14,14.28,21.43,1001.46,22.32
2000-03-15,30.16,90.1,1003.47,26.25
2000-03-16,36.06,79.81,1019.64,48.16
2000-03-17,37.56,39.62,988.81,43.4
2000-03-18,11.57,34.58,1043.85,14.5
2000-03-19,39.28,95.49,1003.94,20.36
2000-03-20,10.25,37.06,1035.04,20.28
2000-03-21,16.71,20.34,1044.96,20.58
2000-03-22,10.25,67.65,992.69,29.15
2000-03-23,36.99,32.6,1016.57,37.61
2000-03-24,16.92,70.38,1043.82,16.34
2000-03-25,19.57,38.82,1004.34,26.05
2000-03-26,22.43,58.69,1045.59,33.55
2000-03-27,32.33,81.14,1038.29,35.45
2000-03-28,13.67,55.84,1020.75,37.17
2000-04-01,14.86,97.87,1021.08,29.59
2000-04-02,17.43,24.59,984.02,32.08
2000-04-03,10.01,55.17,1027.46,28.2
2000-04-04,39.64,20.08,996.93,43.36
2000-04-05,39.53,57.73,984.46,45.03
2000-04-06,21.66,56.11,1044.17,36.6
2000-04-07,16.47,47.19,1017.22,18.0
2000-04-08,14.9,94.48,981.12,39.04
2000-04-09,22.4,97.49,994.59,32.72
2000-04-10,32.18,91.8,1049.18,30.73
2000-04-11,21.36,59.26,988.04,16.86
2000-04-12,16.46,24.67,1032.67,48.88
2000-04-13,11.75,87.4,1019.76,41.04
2000-04-14,14.89,32.83,1010.41,42.03
2000-04-15,33.04,87.0,1046.85,30.19
2000-04-16,29.27,60.99,1024.8,12.61
2000-04-17,24.51,62.44,1018.1,37.12
2000-04-18,36.52,74.98,1022.9,39.96
2000-04-19,12.99,83.41,1004.96,36.76
2000-04-20,16.78,51.39,996.72,11.34
2000-04-21,13.06,78.42,1044.48,10.34
2000-04-22,35.08,84.76,1010.92,10.63
2000-04-23,19.51,50.91,993.82,31.83
2000-04-24,13.87,62.24,1025.7,38.06
2000-04-25,27.7,71.43,1045.95,10.02
2000-04-26,17.0,86.88,1032.35,17.95
2000-04-27,17.92,44.28,998.69,18.58
2000-04-28,30.42,27.76,1015.17,13.06
2000-05-01,29.75,29.83,982.83,23.88
2000-05-02,20.49,85.53,1046.65,45.15
2000-05-03,23.98,55.54,1046.85,19.44
2000-05-04,35.35,88.0,1006.72,38.3
2000-05-05,23.32,85.94,1009.98,11.24
2000-05-06,32.02,30.94,1035.81,32.08
2000-05-07,25.49,38.23,985.16,27.99
2000-05-08,13.77,32.17,1038.87,49.59
2000-05-09,22.63,71.48,1038.71,46.12
2000-05-10,12.51,61.2,993.1,33.0
2000-05-11,19.09,71.85,999.47,46.92
2000-05-12,31.01,91.25,1015.72,30.74
2000-05-13,29.1,91.36,989.0,37.91
2000-05-14,19.27,65.24,989.63,19.38
2000-05-15,24.96,24.7,1008.36,11.62
2000-05-16,17.87,36.36,1042.04,18.84
2000-05-17,28.5,88.73,1040.85,34.29
2000-05-18,16.39,75.02,1036.85,47.56
2000-05-19,21.72,20.28,1000.32,15.3
2000-05-20,19.44,23.02,1000.31,34.4
2000-05-21,39.41,70.08,1025.99,16.46
2000-05-22,11.93,63.12,1030.13,35.05
2000-05-23,32.51,95.98,1019.7,47.8
2000-05-24,25.52,97.79,989.24,18.48
2000-05-25,34.23,72.95,996.65,22.79
2000-05-26,12.69,79.07,998.52,26.28
2000-05-27,39.26,20.78,1018.54,43.72
2000-05-28,15.47,54.05,1026.71,28.06
2000-06-01,26.32,66.5,999.8,19.99
2000-06-02,29.45,21.18,989.77,34.25
2000-06-03,19.56,38.01,987.42,22.03
2000-06-04,17.03,52.35,1038.12,40.33
2000-06-05,12.75,76.32,1013.21,18.21
2000-06-06,22.35,84.08,1008.62,15.59
2000-06-07,31.08,52.09,1046.65,22.07
2000-06-08,21.25,94.92,1031.37,28.99
2000-06-09,21.32,24.04,1027.0,31.53
2000-06-10,34.15,82.16,980.55,48.41
2000-06-11,22.95,92.73,1007.88,28.35
2000-06-12,18.98,76.6,1037.19,16.42
2000-06-13,29.87,70.45,992.94,20.83
2000-06-14,38.47,50.96,1000.45,33.38
2000-06-15,11.91,57.45,1044.48,26.97
2000-06-16,35.34,34.98,999.44,23.14
2000-06-17,23.04,68.99,1023.59,20.32
2000-06-18,13.06,62.15,1017.38,25.13
2000-06-19,33.31,35.14,1045.64,28.17
2000-06-20,32.56,57.41,996.26,24.58
2000-06-21,18.8,75.46,987.07,15.47
2000-06-22,14.86,65.85,1017.81,13.9
2000-06-23,36.4,58.5,980.65,11.08
2000-06-24,24.71,54.74,1008.46,27.56
2000-06-25,33.34,93.78,1031.26,20.67
2000-06-26,23.03,92.61,1008.12,11.1
2000-06-27,20.21,50.5,991.28,32.59
2000-06-28,18.06,56.71,982.76,21.15
2000-07-01,26.45,23.77,1002.88,33.78
2000-07-02,30.38,64.14,1039.07,20.1
2000-07-03,13.31,53.61,1008.77,30.57
2000-07-04,30.71,34.94,1030.29,12.95
2000-07-05,17.32,64.4,1035.45,34.84
2000-07-06,15.67,84.05,1031.8,40.01
2000-07-07,32.72,69.16,1042.35,30.0
2000-07-08,16.93,39.73,1014.13,31.1
2000-07-09,14.99,39.63,1046.69,10.12
2000-07-10,22.23,83.04,1023.59,41.99
2000-07-11,21.04,45.01,999.99,36.75
2000-07-12,29.9,37.26,987.14,39.54
2000-07-13,36.25,51.52,1043.46,34.43
2000-07-14,34.16,38.21,1030.39,48.61
2000-07-15,26.94,73.28,1037.64,32.88
2000-07-16,39.88,89.81,1024.48,18.51
2000-07-17,12.07,95.89,984.52,37.5
2000-07-18,29.43,95.07,987.99,25.26
2000-07-19,12.51,64.36,1036.6,25.35
2000-07-20,15.37,40.74,1008.59,30.52
2000-07-21,29.59,98.94,1039.51,42.33
2000-07-22,31.44,21.21,1012.74,21.42
2000-07-23,34.2,75.45,1015.58,17.33
2000-07-24,11.36,49.47,1037.07,21.09
2000-07-25,19.13,27.58,1009.12,27.6
2000-07-26,19.93,55.29,1013.28,49.06
2000-07-27,34.28,50.79,1018.2,18.43
2000-07-28,33.7,58.95,990.18,47.87
2000-08-01,26.54,60.6,982.89,37.99
